URL in opinion,Timetravel URL,Rot,Archive,Archive Source,CL address,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID,Link rot,Ref rot,IP owner handle,IP owner name,HTTP status code
http://www.usdoj.gov/olc/INSDetention.htm,http://timetravel.mementoweb.org/list/20050112151530/http://www.usdoj.gov/olc/INSDetention.htm,,1,"IA, National Archives and Records Administration, archive-it",http://courtlistener.org/opinion/137740/jama-v-immigration-and-customs-enforcement/,Jama v. Immigration and Customs Enforcement,1/12/05,None,113,137740,0,s404,UDJ,US Dept of Justice,404
http://www.tsa.gov/public/display?theme=32,http://timetravel.mementoweb.org/list/20050124151530/http://www.tsa.gov/public/display?theme=32,,1,"IA, National Archives and Records Administration",http://courtlistener.org/opinion/137742/illinois-v-caballes/,Illinois v. Caballes,1/24/05,None,377,137742,0,s404,AKAMAI,"Akamai Technologies, Inc.",404
http://www.cbp.gov/xp/cgov/border_security/canines/training_program.xml,http://timetravel.mementoweb.org/list/20050124151530/http://www.cbp.gov/xp/cgov/border_security/canines/training_program.xml,,1,IA,http://courtlistener.org/opinion/137742/illinois-v-caballes/,Illinois v. Caballes,1/24/05,None,377,137742,0,s404,QCC-18,"Qwest Communications Company, LLC",404
http://www.aphis.usda.gov/oa/pubs/detdogs.pdf,http://timetravel.mementoweb.org/list/20050124151530/http://www.aphis.usda.gov/oa/pubs/detdogs.pdf,,1,"IA, National Archives and Records Administration",http://courtlistener.org/opinion/137742/illinois-v-caballes/,Illinois v. Caballes,1/24/05,None,377,137742,0,s404,UOO-2,USDA Office of Operations,200
http://www.doc.state.ok.us/docs/policies.htm,http://timetravel.mementoweb.org/list/20050223151530/http://www.doc.state.ok.us/docs/policies.htm,,1,IA,http://courtlistener.org/opinion/137748/johnson-v-california/,Johnson v. California,2/23/05,None,225,137748,0,s404,OOSF,Oklahoma Office of Management & Enterprise Services,404
http://caag.state.ca.us/publications/org_crime.pdf,http://timetravel.mementoweb.org/list/20050223151530/http://caag.state.ca.us/publications/org_crime.pdf,,1,IA,http://courtlistener.org/opinion/137748/johnson-v-california/,Johnson v. California,2/23/05,None,225,137748,0,0,CDJ-1-Z,California Department of Justice,200
http://www.corr.ca.gov/RegulationsPolicies/PDF/DOM/00_dept_ops_maunal.pdf,http://timetravel.mementoweb.org/list/20050223151530/http://www.corr.ca.gov/RegulationsPolicies/PDF/DOM/00_dept_ops_maunal.pdf,,0,,http://courtlistener.org/opinion/137748/johnson-v-california/,Johnson v. California,2/23/05,None,225,137748,1,0,CDC-49,California Department of Corrections,Request timeout
http://www.ngcrc.com/ngcrc/page7.htm,http://timetravel.mementoweb.org/list/20050223151530/http://www.ngcrc.com/ngcrc/page7.htm,,1,IA,http://courtlistener.org/opinion/137748/johnson-v-california/,Johnson v. California,2/23/05,None,225,137748,0,0,CDWH,Cedant Web Hosting,200
http://www.law.onu.edu/faculty/streib/documents/JuvDeathDec2004.pdf,http://timetravel.mementoweb.org/list/20050301151530/http://www.law.onu.edu/faculty/streib/documents/JuvDeathDec2004.pdf,,1,"IA, archive-it",http://courtlistener.org/opinion/137749/roper-v-simmons/,Roper v. Simmons,3/1/05,None,612,137749,0,s404,ONU-Z,Ohio Northern University,200
http://www.law.onu.edu/faculty/streib/documentsJuvDeathSept302004.pdf,http://timetravel.mementoweb.org/list/20050301151530/http://www.law.onu.edu/faculty/streib/documentsJuvDeathSept302004.pdf,,0,,http://courtlistener.org/opinion/137749/roper-v-simmons/,Roper v. Simmons,3/1/05,None,612,137749,0,s404,ONU-Z,Ohio Northern University,200
