URL in opinion,CL ID,Case name,CL address,Date opinion was filed,Opinion download URL,Citation count
http://govinfo.library.unt.edu/ngisc/reports/6.pdf(as,2675751,Michigan v. Bay Mills Indian Community,http://courtlistener.org/opinion/2675751/michigan-v-bay-mills-indian-community/,2014-05-27,http://www.supremecourt.gov/opinions/13pdf/12-515_jq2i.pdf,1
http://www.nigc.gov/LinkClick.aspx?fileticket=Fhd5shyZ1fM%3D(all,2675751,Michigan v. Bay Mills Indian Community,http://courtlistener.org/opinion/2675751/michigan-v-bay-mills-indian-community/,2014-05-27,http://www.supremecourt.gov/opinions/13pdf/12-515_jq2i.pdf,1
http://www.sanmanuel-nsn.gov/fourfires.php.html),2675751,Michigan v. Bay Mills Indian Community,http://courtlistener.org/opinion/2675751/michigan-v-bay-mills-indian-community/,2014-05-27,http://www.supremecourt.gov/opinions/13pdf/12-515_jq2i.pdf,1
http://travel.state.gov/content/visas/english/immigrate/immigrant-process/interview.html.8,2677564,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2677564/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_3d46.pdf,2
http://travel.state.gov/visa/immigrants/types/types_2991.html,2677564,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2677564/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_3d46.pdf,2
http://travel.state.gov/content/visas/english/immigrate/immigrant-process/interview/applicant_interview.html,2677564,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2677564/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_3d46.pdf,2
https://egov.uscis.gov/cris/processingTimesDisplayInit.do.,2677564,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2677564/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_3d46.pdf,2
http://www.uscis.gov/iframe/ilink/docView/AFM/HTML/AFM/0-0-0-1.html,2677564,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2677564/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_3d46.pdf,2
http://travel.state.gov/content/visas/english/immigrate/immigrant-process/interview.html.8,2678135,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2678135/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_4g18.pdf,2
http://travel.state.gov/visa/immigrants/types/types_2991.html,2678135,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2678135/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_4g18.pdf,2
http://travel.state.gov/content/visas/english/immigrate/immigrant-process/interview/applicant_interview.html,2678135,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2678135/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_4g18.pdf,2
https://egov.uscis.gov/cris/processingTimesDisplayInit.do.,2678135,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2678135/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_4g18.pdf,2
http://www.uscis.gov/iframe/ilink/docView/AFM/HTML/AFM/0-0-0-1.html,2678135,Scialabba v. Cuellar De Osorio,http://courtlistener.org/opinion/2678135/scialabba-v-cuellar-de-osorio/,2014-06-09,http://www.supremecourt.gov/opinions/13pdf/12-930_4g18.pdf,2
