Year,1,2,3,4,5,6,7,8
1996,1,0,0,0,0,0,0,0
1997,1,0,0,0,0,0,0,0
1998,2,0,1,1,0,0,1,0
1999,0,0,0,0,0,0,0,0
2000,7,0,0,2,0,0,0,0
2001,2,1,1,1,0,0,0,0
2002,11,1,3,2,0,0,0,1
2003,23,10,5,3,1,1,0,0
2004,17,7,4,5,0,0,0,0
2005,51,12,18,7,2,3,1,1
2006,32,8,12,3,2,0,1,0
2007,30,6,4,7,1,0,1,0
2008,80,16,40,15,1,0,1,0
2009,26,2,15,4,1,0,0,0
2010,43,4,20,4,0,1,0,0
2011,80,13,31,13,2,1,4,0
2012,50,5,24,16,1,3,2,0
2013,29,0,10,11,0,0,1,0
2014,60,8,28,12,0,0,0,0
